('Thunderbird', 'Linux', 'Vendor')	795
('Thunderbird', 'Linux', 'Version')	796
('Thunderbird', 'Mac OS X', 'IsGarbageCollecting')	47
('Thunderbird', 'Windows NT', 'AvailablePhysicalMemory')	18156
('Thunderbird', 'Windows NT', 'BuildID')	19892
('Thunderbird', 'Windows NT', 'Notes')	18558
('Thunderbird', 'Windows NT', 'SystemMemoryUsePercentage')	19224
('Thunderbird', 'Windows NT', 'Theme')	19088
('Thunderbird', 'Windows NT', 'legacy_processing')	19893
('', 'Windows NT', 'AvailableVirtualMemory')	1
('', 'Windows NT', 'URL')	1
('', 'Windows NT', 'id')	1
('B2G', 'Android', '$total')	8
('B2G', 'Android', 'Android_Hardware')	8
('B2G', 'Android', 'Android_Version')	8
('B2G', 'Android', 'CrashTime')	8
('B2G', 'Android', 'Email')	1
('B2G', 'Android', 'InstallTime')	8
('B2G', 'Android', 'ReleaseChannel')	8
('B2G', 'Android', 'Vendor')	8
('B2G', 'Android', 'Version')	8
('B2G', 'Android', 'version')	8
('B2G', 'Mac OS X', 'AdapterVendorID')	1
('B2G', 'Mac OS X', 'FramePoisonBase')	1
('B2G', 'Mac OS X', 'FramePoisonSize')	1
('B2G', 'Mac OS X', 'ProductID')	1
('B2G', 'Mac OS X', 'ProductName')	1
('B2G', 'Mac OS X', 'StartupTime')	1
('B2G', 'Mac OS X', 'submitted_timestamp')	1
('B2G', 'Mac OS X', 'timestamp')	1
('B2G', 'Windows NT', '$total')	5
('B2G', 'Windows NT', 'AdapterDeviceID')	5
('B2G', 'Windows NT', 'Add-ons')	4
('B2G', 'Windows NT', 'AvailablePageFile')	5
('B2G', 'Windows NT', 'Comments')	1
('B2G', 'Windows NT', 'CrashTime')	5
('B2G', 'Windows NT', 'EMCheckCompatibility')	4
('B2G', 'Windows NT', 'Email')	1
('B2G', 'Windows NT', 'InstallTime')	5
('B2G', 'Windows NT', 'ReleaseChannel')	5
('B2G', 'Windows NT', 'Throttleable')	5
('B2G', 'Windows NT', 'TotalVirtualMemory')	5
('B2G', 'Windows NT', 'Vendor')	5
('B2G', 'Windows NT', 'Version')	5
('B2G', 'Windows NT', 'version')	5
('Camino', 'Mac OS X', 'ProductName')	62
('Camino', 'Mac OS X', 'StartupTime')	62
('Camino', 'Mac OS X', 'submitted_timestamp')	62
('Camino', 'Mac OS X', 'timestamp')	62
('Eudora OSE', 'Windows NT', '$total')	1
('Eudora OSE', 'Windows NT', 'Add-ons')	1
('Eudora OSE', 'Windows NT', 'Comments')	1
('Eudora OSE', 'Windows NT', 'CrashTime')	1
('Eudora OSE', 'Windows NT', 'Email')	1
('Eudora OSE', 'Windows NT', 'InstallTime')	1
('Eudora OSE', 'Windows NT', 'Throttleable')	1
('Eudora OSE', 'Windows NT', 'Vendor')	1
('Eudora OSE', 'Windows NT', 'Version')	1
('Fennec', 'Android', 'Accessibility')	64
('Fennec', 'Android', 'AdapterVendorID')	41047
('Fennec', 'Android', 'Android_Board')	47257
('Fennec', 'Android', 'Android_Device')	47257
('Fennec', 'Android', 'Android_Display')	47257
('Fennec', 'Android', 'Android_Logcat')	3206
('Fennec', 'Android', 'FramePoisonBase')	44673
('Fennec', 'Android', 'FramePoisonSize')	44673
('Fennec', 'Android', 'OOMAllocationSize')	57
('Fennec', 'Android', 'ProductID')	47257
('Fennec', 'Android', 'ProductName')	47257
('Fennec', 'Android', 'SecondsSinceLastCrash')	32040
('Fennec', 'Android', 'StartupTime')	47257
('Fennec', 'Android', 'submitted_timestamp')	47257
('Fennec', 'Android', 'timestamp')	47257
