BaseAddress	AllocationBase	AllocationProtect	RegionSize	State	Protect	Type
04fb0000	0	0	00010000	00001000	00000040	00020000
04fc0000	0	0	00010000	00001000	00000040	00020000
04fd0000	0	0	00010000	00001000	00000040	00020000
04fe0000	0	0	00001000	00001000	00000004	00020000
04fe1000	0	0	0000f000	00002000		00020000
04ff0000	0	0	00001000	00001000	00000008	00040000
04ff1000	0	0	0000f000	00010000	00000001	
05000000	0	0	00002000	00001000	00000008	00040000
05002000	0	0	0000e000	00010000	00000001	
05010000	0	0	00001000	00001000	00000008	00040000
05011000	0	0	0000f000	00010000	00000001	
05020000	0	0	000fd000	00002000		00020000
0511d000	0	0	00001000	00001000	00000104	00020000
0511e000	0	0	00002000	00001000	00000004	00020000
05120000	0	0	00001000	00001000	00000008	00040000
05121000	0	0	0000f000	00010000	00000001	
05130000	0	0	00010000	00001000	00000004	00020000
05140000	0	0	000fd000	00002000		00020000
0523d000	0	0	00001000	00001000	00000104	00020000
0523e000	0	0	00002000	00001000	00000004	00020000
05240000	0	0	00008000	00001000	00000004	00040000
05248000	0	0	00008000	00010000	00000001	
05250000	0	0	0001e000	00001000	00000002	00040000
0526e000	0	0	00002000	00010000	00000001	
05270000	0	0	000fd000	00002000		00020000
0536d000	0	0	00001000	00001000	00000104	00020000
0536e000	0	0	00002000	00001000	00000004	00020000
05370000	0	0	000fd000	00002000		00020000
0546d000	0	0	00001000	00001000	00000104	00020000
0546e000	0	0	00002000	00001000	00000004	00020000
05470000	0	0	000cc000	00001000	00000002	00040000
0553c000	0	0	00004000	00010000	00000001	
05540000	0	0	0003d000	00001000	00000004	00020000
0557d000	0	0	000c3000	00002000		00020000
05640000	0	0	00010000	00001000	00000040	00020000
05650000	0	0	00001000	00001000	00000020	00020000
05651000	0	0	0000f000	00010000	00000001	
05660000	0	0	00001000	00001000	00000020	00020000
05661000	0	0	0000f000	00010000	00000001	
05670000	0	0	00010000	00001000	00000040	00020000
05680000	0	0	00001000	00001000	00000404	00040000
05681000	0	0	0000f000	00010000	00000001	
05690000	0	0	00001000	00001000	00000004	00020000
05691000	0	0	0000f000	00010000	00000001	
056a0000	0	0	000fa000	00002000		00020000
0579a000	0	0	00001000	00001000	00000104	00020000
0579b000	0	0	00005000	00001000	00000004	00020000
057a0000	0	0	00033000	00001000	00000002	00040000
057d3000	0	0	0000d000	00010000	00000001	
057e0000	0	0	00010000	00001000	00000040	00020000
057f0000	0	0	00010000	00001000	00000040	00020000
05800000	0	0	00100000	00001000	00000004	00020000
05900000	0	0	00041000	00001000	00000004	00020000
05941000	0	0	000bf000	00002000		00020000
05a00000	0	0	00100000	00001000	00000004	00020000
05b00000	0	0	0007a000	00001000	00000002	00040000
05b7a000	0	0	00006000	00010000	00000001	
05b80000	0	0	00010000	00001000	00000040	00020000
05b90000	0	0	000fd000	00002000		00020000
05c8d000	0	0	00002000	00001000	00000104	00020000
05c8f000	0	0	00001000	00001000	00000004	00020000
05c90000	0	0	00400000	00001000	00000004	00020000
06090000	0	0	00010000	00001000	00000040	00020000
060a0000	0	0	00010000	00001000	00000040	00020000
060b0000	0	0	00010000	00001000	00000040	00020000
060c0000	0	0	00010000	00001000	00000040	00020000
060d0000	0	0	00001000	00001000	00000004	00020000
060d1000	0	0	0000f000	00010000	00000001	
060e0000	0	0	00001000	00001000	00000020	00020000
060e1000	0	0	0000f000	00010000	00000001	
060f0000	0	0	0000b000	00001000	00000404	00040000
060fb000	0	0	00005000	00010000	00000001	
06100000	0	0	00010000	00001000	00000040	00020000
06110000	0	0	00010000	00001000	00000040	00020000
06120000	0	0	00010000	00001000	00000040	00020000
06130000	0	0	0002e000	00001000	00000002	00040000
0615e000	0	0	00002000	00010000	00000001	
06160000	0	0	0007f000	00001000	00000002	00040000
061df000	0	0	00001000	00010000	00000001	
061e0000	0	0	00097000	00001000	00000002	00040000
06277000	0	0	00009000	00010000	00000001	
06280000	0	0	00003000	00001000	00000004	00020000
06283000	0	0	0000d000	00010000	00000001	
06290000	0	0	00010000	00001000	00000040	00020000
062a0000	0	0	00004000	00001000	00000002	00040000
062a4000	0	0	0000c000	00010000	00000001	
062b0000	0	0	0004f000	00001000	00000002	00040000
062ff000	0	0	00001000	00010000	00000001	
06300000	0	0	00025000	00001000	00000004	00040000
06325000	0	0	0000b000	00010000	00000001	
06330000	0	0	00010000	00001000	00000040	00020000
06340000	0	0	00010000	00001000	00000040	00020000
06350000	0	0	00010000	00001000	00000040	00020000
06360000	0	0	000a0000	00001000	00000002	00040000
06400000	0	0	00100000	00001000	00000004	00020000
06500000	0	0	00010000	00001000	00000040	00020000
06510000	0	0	000f9000	00002000		00020000
06609000	0	0	00001000	00001000	00000104	00020000
0660a000	0	0	00006000	00001000	00000004	00020000
06610000	0	0	00002000	00001000	00000004	00020000
06612000	0	0	0000e000	00010000	00000001	
06620000	0	0	00002000	00001000	00000002	00040000
06622000	0	0	0000e000	00010000	00000001	
06630000	0	0	00010000	00001000	00000040	00020000
06640000	0	0	000de000	00002000		00020000
0671e000	0	0	00002000	00001000	00000104	00020000
06720000	0	0	00020000	00001000	00000004	00020000
06740000	0	0	00800000	00001000	00000004	00020000
06f40000	0	0	00057000	00001000	00000008	00040000
06f97000	0	0	00009000	00010000	00000001	
06fa0000	0	0	00015000	00001000	00000002	00040000
06fb5000	0	0	0000b000	00010000	00000001	
06fc0000	0	0	00010000	00001000	00000040	00020000
06fd0000	0	0	00001000	00001000	00000020	00020000
06fd1000	0	0	0000f000	00010000	00000001	
06fe0000	0	0	00010000	00001000	00000040	00020000
06ff0000	0	0	00010000	00001000	00000004	00020000
07000000	0	0	00100000	00001000	00000004	00020000
07100000	0	0	00041000	00001000	00000004	00020000
07141000	0	0	000bf000	00002000		00020000
07200000	0	0	000fa000	00002000		00020000
072fa000	0	0	00001000	00001000	00000104	00020000
072fb000	0	0	00005000	00001000	00000004	00020000
07300000	0	0	00012000	00001000	00000004	00020000
07312000	0	0	0000e000	00010000	00000001	
07320000	0	0	000fb000	00002000		00020000
0741b000	0	0	00001000	00001000	00000104	00020000
0741c000	0	0	00004000	00001000	00000004	00020000
07420000	0	0	000a2000	00001000	00000002	00040000
074c2000	0	0	0000e000	00010000	00000001	
074d0000	0	0	00001000	00001000	00000004	00020000
074d1000	0	0	0000f000	00002000		00020000
074e0000	0	0	00012000	00001000	00000004	00020000
074f2000	0	0	0000e000	00010000	00000001	
07500000	0	0	00010000	00001000	00000040	00020000
07510000	0	0	000f9000	00002000		00020000
07609000	0	0	00001000	00001000	00000104	00020000
0760a000	0	0	00006000	00001000	00000004	00020000
07610000	0	0	00010000	00001000	00000040	00020000
07620000	0	0	00100000	00001000	00000004	00020000
07720000	0	0	00004000	00001000	00000004	00020000
07724000	0	0	0000c000	00010000	00000001	
07730000	0	0	000fa000	00002000		00020000
0782a000	0	0	00001000	00001000	00000104	00020000
0782b000	0	0	00005000	00001000	00000004	00020000
07830000	0	0	0002a000	00001000	00000404	00040000
0785a000	0	0	00006000	00010000	00000001	
07860000	0	0	000fb000	00002000		00020000
0795b000	0	0	00001000	00001000	00000104	00020000
0795c000	0	0	00004000	00001000	00000004	00020000
07960000	0	0	00012000	00001000	00000002	00040000
